country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Malta,61e3,6e4,59e3,58e3,6e4,65e3,68e3,75e3,87e3,1e5,109e3,115e3,109e3,111e3,114e3,119e3,127e3,127e3,122e3,114e3,104e3
Martinique,37e3,41e3,45e3,49e3,54e3,54e3,59e3,63e3,7e4,79e3,91e3,109e3,118e3,12e4,112e3,103e3,99e3,98e3,102e3,102e3,98e3
Mauritania,87e3,103e3,119e3,138e3,157e3,179e3,202e3,224e3,248e3,28e4,332e3,402e3,486e3,584e3,693e3,807e3,924e3,1041e3,1162e3,1296e3,1436e3
Mauritius,63e3,71e3,82e3,95e3,11e4,131e3,145e3,163e3,191e3,223e3,26e4,301e3,342e3,371e3,387e3,389e3,375e3,376e3,377e3,375e3,369e3
Mayotte,4e3,4e3,4e3,4e3,4e3,5e3,5e3,8e3,1e4,14e3,18e3,21e3,27e3,34e3,42e3,52e3,63e3,75e3,89e3,98e3,103e3
Mexico,3974e3,4491e3,493e4,5648e3,6551e3,7518e3,8579e3,9767e3,11149e3,13367e3,16078e3,19039e3,22766e3,26979e3,30415e3,32682e3,3386e4,342e5,34496e3,34784e3,34563e3
"Micronesia, Fed. Sts.",5e3,5e3,6e3,7e3,8e3,8e3,8e3,9e3,1e4,13e3,15e3,17e3,18e3,16e3,17e3,2e4,23e3,28e3,34e3,34e3,35e3
Moldova,457e3,554e3,59e4,662e3,752e3,815e3,926e3,903e3,896e3,965e3,1013e3,1041e3,1009e3,925e3,86e4,862e3,961e3,998e3,932e3,802e3,673e3
Mongolia,111e3,12e4,133e3,149e3,169e3,193e3,225e3,26e4,256e3,268e3,339e3,438e3,542e3,652e3,744e3,831e3,947e3,1e6,995e3,947e3,881e3
Montenegro,68e3,71e3,71e3,78e3,87e3,101e3,125e3,124e3,13e4,147e3,166e3,163e3,167e3,165e3,166e3,169e3,176e3,175e3,173e3,167e3,156e3
Morocco,1176e3,1328e3,1508e3,1705e3,1924e3,2248e3,2643e3,2934e3,322e4,3788e3,4678e3,5664e3,6545e3,7382e3,808e4,9157e3,10168e3,10856e3,11157e3,1095e4,10827e3
Mozambique,948e3,1023e3,1113e3,1219e3,1338e3,1476e3,1646e3,1778e3,1744e3,201e4,2296e3,2604e3,2905e3,3209e3,3532e3,3942e3,4528e3,5277e3,6223e3,7425e3,8622e3
Myanmar,2995e3,3253e3,3605e3,3943e3,4363e3,4754e3,4988e3,5224e3,5618e3,6702e3,8086e3,9464e3,10944e3,12361e3,13726e3,15165e3,16173e3,16588e3,16613e3,16442e3,16428e3
