country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Laos,64e3,8e4,97e3,116e3,137e3,16e4,183e3,208e3,235e3,262e3,291e3,318e3,357e3,424e3,506e3,614e3,74e4,891e3,1055e3,1264e3,1542e3
Latvia,304e3,307e3,317e3,365e3,407e3,437e3,416e3,428e3,464e3,482e3,504e3,511e3,505e3,516e3,533e3,552e3,559e3,572e3,584e3,607e3,642e3
Lebanon,149e3,153e3,16e4,168e3,18e4,2e5,2e5,213e3,235e3,326e3,379e3,41e4,443e3,504e3,595e3,703e3,821e3,948e3,1072e3,1195e3,1296e3
Lesotho,51e3,53e3,57e3,62e3,67e3,74e3,82e3,95e3,106e3,119e3,132e3,136e3,147e3,156e3,169e3,169e3,16e4,156e3,168e3,195e3,232e3
Liberia,41e3,45e3,52e3,59e3,69e3,82e3,94e3,109e3,102e3,92e3,132e3,159e3,2e5,234e3,291e3,36e4,434e3,504e3,604e3,728e3,877e3
Libya,74e3,74e3,8e4,88e3,88e3,9e4,114e3,146e3,181e3,227e3,285e3,354e3,435e3,54e4,677e3,842e3,1052e3,1337e3,1666e3,2042e3,2273e3
Lithuania,34e4,337e3,329e3,405e3,47e4,498e3,489e3,521e3,597e3,636e3,67e4,693e3,7e5,714e3,757e3,804e3,83e4,842e3,834e3,842e3,871e3
Luxembourg,42e3,46e3,5e4,59e3,62e3,67e3,65e3,66e3,72e3,78e3,82e3,86e3,94e3,102e3,115e3,134e3,15e4,164e3,175e3,185e3,197e3
"Macao, China",9e3,11e3,15e3,15e3,18e3,21e3,28e3,29e3,35e3,39e3,43e3,48e3,65e3,91e3,127e3,162e3,194e3,221e3,237e3,245e3,259e3
"Macedonia, FYR",138e3,119e3,109e3,115e3,141e3,155e3,164e3,188e3,219e3,261e3,291e3,316e3,343e3,386e3,43e4,468e3,5e5,528e3,56e4,59e4,612e3
Madagascar,219e3,248e3,281e3,334e3,399e3,432e3,458e3,507e3,564e3,643e3,727e3,815e3,932e3,1144e3,1413e3,1735e3,2123e3,26e5,3152e3,3675e3,4403e3
Malawi,142e3,145e3,149e3,159e3,167e3,225e3,279e3,305e3,403e3,489e3,555e3,643e3,761e3,885e3,1029e3,1189e3,1343e3,1503e3,1811e3,2186e3,2652e3
Malaysia,448e3,415e3,431e3,474e3,602e3,685e3,787e3,882e3,1026e3,1192e3,1433e3,1713e3,2172e3,2799e3,3594e3,4468e3,5283e3,6096e3,6908e3,7873e3,8817e3
Maldives,7e3,7e3,7e3,8e3,8e3,9e3,11e3,1e4,11e3,12e3,15e3,17e3,18e3,21e3,27e3,33e3,44e3,56e3,71e3,91e3,112e3
Mali,211e3,238e3,263e3,285e3,306e3,333e3,358e3,383e3,404e3,426e3,452e3,477e3,504e3,536e3,619e3,734e3,895e3,11e5,134e4,167e4,2074e3
Malta,28e3,31e3,35e3,35e3,41e3,4e4,43e3,48e3,52e3,6e4,66e3,74e3,89e3,102e3,114e3,121e3,124e3,129e3,139e3,147e3,154e3
Martinique,16e3,16e3,2e4,21e3,26e3,32e3,37e3,42e3,48e3,54e3,61e3,7e4,78e3,9e4,101e3,116e3,127e3,135e3,135e3,134e3,136e3
Mauritania,18e3,26e3,35e3,41e3,51e3,59e3,69e3,8e4,9e4,102e3,115e3,129e3,148e3,172e3,21e4,259e3,323e3,4e5,493e3,592e3,701e3
Mauritius,22e3,23e3,26e3,29e3,34e3,41e3,57e3,66e3,76e3,89e3,105e3,123e3,151e3,182e3,214e3,251e3,293e3,326e3,348e3,365e3,373e3
Mayotte,2e3,2e3,2e3,3e3,3e3,3e3,3e3,3e3,4e3,5e3,6e3,8e3,1e4,11e3,15e3,2e4,26e3,33e3,41e3,53e3,63e3
Mexico,1487e3,1672e3,2026e3,2466e3,2877e3,3349e3,3805e3,453e4,5397e3,6378e3,7417e3,8768e3,10364e3,1272e4,1543e4,18536e3,22368e3,27072e3,31063e3,3405e4,36426e3
"Micronesia, Fed. Sts.",2e3,2e3,2e3,3e3,3e3,4e3,3e3,4e3,5e3,5e3,6e3,6e3,6e3,8e3,1e4,11e3,12e3,12e3,14e3,16e3,2e4
Moldova,263e3,259e3,271e3,308e3,35e4,415e3,434e3,497e3,558e3,568e3,587e3,558e3,571e3,633e3,699e3,748e3,742e3,729e3,731e3,772e3,853e3
Mongolia,41e3,45e3,5e4,54e3,59e3,67e3,79e3,93e3,13e4,129e3,125e3,146e3,161e3,191e3,252e3,334e3,416e3,509e3,608e3,712e3,836e3
Montenegro,41e3,43e3,47e3,53e3,56e3,62e3,62e3,64e3,76e3,84e3,95e3,105e3,11e4,122e3,136e3,143e3,151e3,156e3,164e3,173e3,183e3
Morocco,411e3,441e3,503e3,704e3,95e4,899e3,1235e3,129e4,1552e3,1772e3,2071e3,2279e3,2611e3,3154e3,399e4,4789e3,5603e3,6501e3,7449e3,8642e3,9766e3
Mozambique,303e3,328e3,362e3,407e3,462e3,524e3,599e3,664e3,701e3,791e3,905e3,1036e3,1193e3,1375e3,1584e3,1803e3,2023e3,2265e3,2541e3,2907e3,3409e3
Myanmar,978e3,1116e3,1289e3,1504e3,1738e3,2e6,2338e3,2683e3,3052e3,3368e3,3581e3,3756e3,4132e3,5102e3,6225e3,7464e3,8864e3,105e5,12067e3,1368e4,14966e3
Namibia,31e3,31e3,35e3,4e4,43e3,48e3,56e3,63e3,74e3,82e3,94e3,107e3,126e3,149e3,177e3,21e4,239e3,269e3,307e3,363e3,433e3
Nepal,307e3,378e3,442e3,512e3,588e3,67e4,762e3,87e4,998e3,1155e3,1365e3,1616e3,1846e3,2157e3,2555e3,3055e3,3665e3,4411e3,5336e3,6422e3,7649e3
Netherlands,1159e3,1326e3,1508e3,1704e3,1894e3,2067e3,2221e3,2429e3,2594e3,274e4,2896e3,314e4,365e4,4074e3,4518e3,4992e3,5396e3,5582e3,5559e3,5484e3,5445e3
Netherlands Antilles,9e3,9e3,9e3,11e3,12e3,15e3,17e3,18e3,19e3,21e3,23e3,26e3,3e4,36e3,44e3,53e3,6e4,66e3,71e3,75e3,76e3
New Caledonia,3e3,4e3,4e3,5e3,6e3,8e3,8e3,1e4,12e3,14e3,18e3,24e3,29e3,34e3,42e3,51e3,61e3,7e4,79e3,86e3,94e3
New Zealand,25e4,27e4,29e4,311e3,352e3,393e3,431e3,471e3,518e3,569e3,611e3,678e3,783e3,893e3,1029e3,1184e3,1306e3,1386e3,1436e3,1493e3,1562e3
Nicaragua,6e4,65e3,72e3,82e3,98e3,117e3,141e3,17e4,201e3,236e3,275e3,325e3,363e3,457e3,572e3,698e3,834e3,997e3,119e4,1422e3,1645e3
Niger,4e4,57e3,81e3,107e3,134e3,164e3,194e3,231e3,277e3,325e3,383e3,463e3,554e3,647e3,8e5,1018e3,1221e3,1485e3,1831e3,2247e3,2785e3
Nigeria,1875e3,2111e3,2362e3,2572e3,2815e3,3121e3,3565e3,4085e3,4637e3,5225e3,5965e3,6864e3,7793e3,8977e3,10316e3,11811e3,13546e3,15892e3,19149e3,23174e3,27719e3
Norway,453e3,504e3,58e4,637e3,703e3,765e3,828e3,882e3,888e3,872e3,859e3,909e3,1025e3,1127e3,124e4,1366e3,1501e3,161e4,1666e3,1706e3,1762e3
Oman,22e3,23e3,27e3,3e4,33e3,39e3,43e3,49e3,56e3,68e3,84e3,11e4,14e4,189e3,253e3,342e3,442e3,538e3,674e3,847e3,1006e3
Pakistan,4318e3,4324e3,4436e3,4691e3,502e4,5218e3,5456e3,5936e3,6543e3,7261e3,8378e3,9861e3,11458e3,1347e4,16088e3,19355e3,23344e3,28141e3,33849e3,40916e3,49803e3
Panama,56e3,64e3,76e3,86e3,96e3,112e3,132e3,152e3,175e3,204e3,236e3,285e3,341e3,412e3,502e3,61e4,732e3,858e3,967e3,1064e3,1163e3
Papua New Guinea,109e3,88e3,86e3,83e3,96e3,106e3,116e3,134e3,152e3,173e3,206e3,24e4,293e3,366e3,462e3,593e3,738e3,902e3,1051e3,1221e3,1417e3
